6.0;[6, 8[;[6, 8[;*
6.001;[6, 8[;[6, 8[;*
6.002;[6, 8[;[6, 8[;*
6.004;[6, 8[;[6, 8[;*
6.005;[6, 8[;[6, 8[;*
6.007;[6, 8[;[6, 8[;*
6.011;[6, 8[;[6, 8[;*
6.012;[6, 8[;[6, 8[;*
6.013;[6, 8[;[6, 8[;*
6.014;[6, 8[;[6, 8[;*
6.015;[6, 8[;[6, 8[;*
6.018;[6, 8[;[6, 8[;*
6.026;[6, 8[;[6, 8[;*
6.027;[6, 8[;[6, 8[;*
6.03;[6, 8[;[6, 8[;*
6.034;[6, 8[;[6, 8[;*
6.035;[6, 8[;[6, 8[;*
6.037;[6, 8[;[6, 8[;*
6.038;[6, 8[;[6, 8[;*
6.039;[6, 8[;[6, 8[;*
6.042;[6, 8[;[6, 8[;*
6.049;[6, 8[;[6, 8[;*
6.052;[6, 8[;[6, 8[;*
6.053;[6, 8[;[6, 8[;*
6.054;[6, 8[;[6, 8[;*
6.055;[6, 8[;[6, 8[;*
6.057;[6, 8[;[6, 8[;*
6.059;[6, 8[;[6, 8[;*
6.061;[6, 8[;[6, 8[;*
6.062;[6, 8[;[6, 8[;*
6.063;[6, 8[;[6, 8[;*
6.064;[6, 8[;[6, 8[;*
6.066;[6, 8[;[6, 8[;*
6.068;[6, 8[;[6, 8[;*
6.07;[6, 8[;[6, 8[;*
6.071;[6, 8[;[6, 8[;*
6.074;[6, 8[;[6, 8[;*
6.076;[6, 8[;[6, 8[;*
6.077;[6, 8[;[6, 8[;*
6.078;[6, 8[;[6, 8[;*
6.079;[6, 8[;[6, 8[;*
6.081;[6, 8[;[6, 8[;*
6.082;[6, 8[;[6, 8[;*
6.084;[6, 8[;[6, 8[;*
6.085;[6, 8[;[6, 8[;*
6.086;[6, 8[;[6, 8[;*
6.088;[6, 8[;[6, 8[;*
6.089;[6, 8[;[6, 8[;*
6.09;[6, 8[;[6, 8[;*
6.093;[6, 8[;[6, 8[;*
6.094;[6, 8[;[6, 8[;*
6.095;[6, 8[;[6, 8[;*
6.096;[6, 8[;[6, 8[;*
6.099;[6, 8[;[6, 8[;*
6.102;[6, 8[;[6, 8[;*
6.105;[6, 8[;[6, 8[;*
6.106;[6, 8[;[6, 8[;*
6.107;[6, 8[;[6, 8[;*
6.109;[6, 8[;[6, 8[;*
6.112;[6, 8[;[6, 8[;*
6.114;[6, 8[;[6, 8[;*
6.119;[6, 8[;[6, 8[;*
6.124;[6, 8[;[6, 8[;*
6.125;[6, 8[;[6, 8[;*
6.126;[6, 8[;[6, 8[;*
6.127;[6, 8[;[6, 8[;*
6.129;[6, 8[;[6, 8[;*
6.132;[6, 8[;[6, 8[;*
6.133;[6, 8[;[6, 8[;*
6.135;[6, 8[;[6, 8[;*
6.138;[6, 8[;[6, 8[;*
6.14;[6, 8[;[6, 8[;*
6.141;[6, 8[;[6, 8[;*
6.142;[6, 8[;[6, 8[;*
6.143;[6, 8[;[6, 8[;*
6.144;[6, 8[;[6, 8[;*
6.145;[6, 8[;[6, 8[;*
6.146;[6, 8[;[6, 8[;*
6.147;[6, 8[;[6, 8[;*
6.148;[6, 8[;[6, 8[;*
6.15;[6, 8[;[6, 8[;*
6.154;[6, 8[;[6, 8[;*
6.156;[6, 8[;[6, 8[;*
6.158;[6, 8[;[6, 8[;*
6.162;[6, 8[;[6, 8[;*
6.163;[6, 8[;[6, 8[;*
6.164;[6, 8[;[6, 8[;*
6.168;[6, 8[;[6, 8[;*
6.169;[6, 8[;[6, 8[;*
6.17;[6, 8[;[6, 8[;*
6.171;[6, 8[;[6, 8[;*
6.174;[6, 8[;[6, 8[;*
6.176;[6, 8[;[6, 8[;*
6.178;[6, 8[;[6, 8[;*
6.179;[6, 8[;[6, 8[;*
6.18;[6, 8[;[6, 8[;*
6.184;[6, 8[;[6, 8[;*
6.185;[6, 8[;[6, 8[;*
6.186;[6, 8[;[6, 8[;*
6.187;[6, 8[;[6, 8[;*
6.189;[6, 8[;[6, 8[;*
6.19;[6, 8[;[6, 8[;*
6.191;[6, 8[;[6, 8[;*
6.192;[6, 8[;[6, 8[;*
6.193;[6, 8[;[6, 8[;*
6.194;[6, 8[;[6, 8[;*
6.2;[6, 8[;[6, 8[;*
6.202;[6, 8[;[6, 8[;*
6.203;[6, 8[;[6, 8[;*
