1920-02-07;1920;[1920, 1930[
1920-04-27;1920;[1920, 1930[
1921-08-26;1921;[1920, 1930[
1921-12-04;1921;[1920, 1930[
1922-02-05;1922;[1920, 1930[
1922-05-04;1922;[1920, 1930[
1922-07-17;1922;[1920, 1930[
1922-08-19;1922;[1920, 1930[
1922-09-27;1922;[1920, 1930[
1922-10-01;1922;[1920, 1930[
1922-10-26;1922;[1920, 1930[
1923-02-16;1923;[1920, 1930[
1923-09-23;1923;[1920, 1930[
1924-08-17;1924;[1920, 1930[
1924-09-04;1924;[1920, 1930[
1924-10-06;1924;[1920, 1930[
1924-10-18;1924;[1920, 1930[
1925-05-15;1925;[1920, 1930[
1925-08-04;1925;[1920, 1930[
1925-09-01;1925;[1920, 1930[
1925-09-10;1925;[1920, 1930[
1926-01-06;1926;[1920, 1930[
1926-03-01;1926;[1920, 1930[
1926-03-02;1926;[1920, 1930[
1926-03-11;1926;[1920, 1930[
1926-06-19;1926;[1920, 1930[
1926-08-02;1926;[1920, 1930[
1927-01-03;1927;[1920, 1930[
1927-01-14;1927;[1920, 1930[
1927-03-13;1927;[1920, 1930[
1927-03-15;1927;[1920, 1930[
1927-04-18;1927;[1920, 1930[
1927-06-02;1927;[1920, 1930[
1927-10-27;1927;[1920, 1930[
1927-11-02;1927;[1920, 1930[
1927-11-03;1927;[1920, 1930[
1928-01-25;1928;[1920, 1930[
1928-05-29;1928;[1920, 1930[
1928-06-04;1928;[1920, 1930[
1928-06-14;1928;[1920, 1930[
1928-09-03;1928;[1920, 1930[
1929-01-24;1929;[1920, 1930[
1929-02-06;1929;[1920, 1930[
1929-03-14;1929;[1920, 1930[
1929-10-17;1929;[1920, 1930[
1930-01-24;1930;[1930, 1940[
1930-03-04;1930;[1930, 1940[
1931-01-04;1931;[1930, 1940[
1931-01-24;1931;[1930, 1940[
1931-02-20;1931;[1930, 1940[
1931-08-04;1931;[1930, 1940[
1931-10-24;1931;[1930, 1940[
1931-11-05;1931;[1930, 1940[
1931-12-18;1931;[1930, 1940[
1932-01-24;1932;[1930, 1940[
1932-02-17;1932;[1930, 1940[
1932-08-18;1932;[1930, 1940[
1932-10-19;1932;[1930, 1940[
1933-01-23;1933;[1930, 1940[
1933-02-20;1933;[1930, 1940[
1933-04-04;1933;[1930, 1940[
1933-10-26;1933;[1930, 1940[
1933-12-26;1933;[1930, 1940[
1934-01-11;1934;[1930, 1940[
1934-01-23;1934;[1930, 1940[
1934-03-15;1934;[1930, 1940[
1934-06-28;1934;[1930, 1940[
1934-08-17;1934;[1930, 1940[
1934-10-12;1934;[1930, 1940[
1935-01-23;1935;[1930, 1940[
1935-03-04;1935;[1930, 1940[
1935-11-21;1935;[1930, 1940[
1935-12-24;1935;[1930, 1940[
1936-01-06;1936;[1930, 1940[
1936-01-23;1936;[1930, 1940[
1936-02-27;1936;[1930, 1940[
1936-08-17;1936;[1930, 1940[
1937-01-22;1937;[1930, 1940[
1937-02-24;1937;[1930, 1940[
1937-07-06;1937;[1930, 1940[
1938-01-22;1938;[1930, 1940[
1938-05-15;1938;[1930, 1940[
1939-01-22;1939;[1930, 1940[
1939-02-02;1939;[1930, 1940[
1939-04-26;1939;[1930, 1940[
1939-07-23;1939;[1930, 1940[
1940-01-22;1940;[1940, 1950[
1940-04-20;1940;[1940, 1950[
1940-07-07;1940;[1940, 1950[
1940-07-25;1940;[1940, 1950[
1941-01-21;1941;[1940, 1950[
1941-05-04;1941;[1940, 1950[
1942-01-21;1942;[1940, 1950[
1942-04-25;1942;[1940, 1950[
1943-01-21;1943;[1940, 1950[
1943-05-22;1943;[1940, 1950[
1943-05-24;1943;[1940, 1950[
1943-07-19;1943;[1940, 1950[
1943-08-06;1943;[1940, 1950[
1943-08-21;1943;[1940, 1950[
1944-01-21;1944;[1940, 1950[
1944-02-27;1944;[1940, 1950[
1944-06-28;1944;[1940, 1950[
1944-07-20;1944;[1940, 1950[
1945-01-20;1945;[1940, 1950[
1945-02-23;1945;[1940, 1950[
1945-02-24;1945;[1940, 1950[
1945-03-08;1945;[1940, 1950[
1945-07-27;1945;[1940, 1950[
1945-12-11;1945;[1940, 1950[
1946-01-20;1946;[1940, 1950[
1946-03-01;1946;[1940, 1950[
1947-01-20;1947;[1940, 1950[
1947-05-08;1947;[1940, 1950[
1947-05-15;1947;[1940, 1950[
1947-12-19;1947;[1940, 1950[
